quotation	type	source	translation	notes
Accipe, si vis, Accipiam tabulas; detur nobis locus, hora, Custodes: videamus uter plus scribere possit.		horatius	Take, if you like, your tablets, I will take mine: let there be a place, a time, and persons appointed to see fair play; let us see who can write the most.	
A verbis legis non est recedendum.		edward coke	There must be no departure from the words of the law	The judge must not give to a statute a forced interpretation contrary to the reasonable meaning of the words.
Aes erat in pretio; chalybeia massa latebat; Heu! quam perpetuo debuit illa tegi.		ovidius	Copper became valuable; the iron ore still lay hid. Alas! would that it had ever remained concealed.	
Accipe, sume, cape, sunt verba placentia papae.	medieval saying		Take, have, and keep, are pleasant words from a pope.	"It may also be translated, ""to a pope."""
Aesopo ingentem statuam posuere Attici, Servumque collocarunt aeterna in basi, Patere honoris scirent ut cuncti viam.		phaedrus	The Athenians erected a lofty statue to Aesop, and placed him, though a slave, upon an everlasting pedestal, that all might know that the way to fame is open to every one.	
Amicum perdere est demnorum maximum.		publilius syrus	To lose a friend is the greatest of losses.	
A vinculo matrimonii.			From the bonds of matrimony	See A mensa, &c.
Aestimatio delicti praeteriti ex post facto non crescit.	law maxim		The delinquency attaching to a crime that has been committed, is not increased by anything that has happened since.	
Ab actu ad posse valet illatio.			From what has happened we may infer what will happen	
Ab alio spectes alteri quod feceris.		publilius syrus	As you do to another, expect another to do to you	
Ab amicis honesta petamus.		cicero	We must ask what is proper from our friends	
Ab honesto virum bonum nihil deterret.		seneca	Nothing deters a good man from the performance of his duties	
Ab inconvenienti.			From the inconvenience	The Argumentum ab inconvenienti, is an argument to show that a proposition will be unlikely to meet the expected end, and will therefore be inexpedient.
Amicus certus in re incerta cernitur.		ennius	An undoubted friend shows himself in doubtful circumstances.	"Very similar to our proverb, ""A friend in need is a friend indeed."""
Amicus curiae.	law term		A friend of the court.	A member of the bar who makes a suggestion on any point of practice as to which the judge is in doubt is so called.
Aestuat ingens Imo in corde pudor, mixtoque insania luctu, Et Furiis agitatus amor, et conscia virtus.		virgilius	Deep in his heart boils overwhelming shame, and frantic rage, with intermingled grief, and love racked with furious despair, and conscious worth.	
Amicus magis necessarius quam ignis aut aqua.			A friend is more needful than fire or water.	
Aetas parentum, pejor avie, tulit Nos nequiores, mox daturos Progeniem vitiosiorem.		horatius	The days of our parents, more dissolute than those of our forefathers, produced us more wicked than they; we, who are destined to produce a more vicious progeny still.	"Horace is here a laudator temporis acti, a praiser of the ""good old times."""
Amicus Plato, amicus Socrates, sed magis amica veritas.		cicero	Plato is my friend, Socrates is my friend, but truth is a friend I prize above both.	
Aetatem non tegunt tempora.			Our temples do not conceal our age.	The wrinkled forehead betrays the hand of time
Aetatem Priami Nestorisque Longam qui putat esse, Martiane, Multum decipitur falliturque, Non est. vivere sed vita.		marcus valerius martialis	He, Martianus, is much mistaken and deceived, who thinks that the life of Priam and of Nestor was long: not existence, but health, is life.	
Amicus usque ad aras.			A friend to the very altar.	
Aetatis cujusque notandi sunt tibi mores.		horatius	You must carefully observe the manners of every age.	By inattention to this rule, even Shakespeare has committed anachronisms.
Aeternum inter se discordant.		terentius	They are everlastingly at variance with each other.	
Aethiopem dealbare.	proverb		To wash a blackamoor white.	
Amissum quod nescitur non amittitur.		publilius syrus	The loss that is not known is no loss.	"""What the eye don't see the heart don't grieve."" So also Gray's line, ""Where ignorance is bliss 'tis folly to be wise."""
Aevo rarissima nostro Simplicitas.		ovidius	Simplicity, a thing most rare in our age.	Ovid, like Seneca, sometimes praises a simplicity and self-denial, which he himself failed to practise.
Amittit merito proprium qui alienum appetit.		phaedrus	"He who covets that which belongs to another, deservedly loses his own."" Covetous men not unfrequently fall into the pit which they have dug for others."""	
Affectum dantis pensat censura Tonantis.			The judgment of the Thunderer weighs the intention of the giver.	A mediaeval line.
Amor omnibus idem.		virgilius	Love is in all the same.	
Afflavit Deus et dissipantur.			God has sent forth his breath, and they are dispersed.	In the reign of Queen Elizabeth, a medal with the above inscription was struck, to record the destruction of the Spanish Armada.
Amor et melle et felle est fecundissimus.		plautus	Love is most fruitful both in honey and in gall.	
Amor tussisque non celantur.			Love and a cough cannot bo concealed.	A proverbial saying.
Amore nihil mollius, nihil violentius.			Nothing is more tender, nothing more violent than love.	
Amores De tenero meditatur ungui.		horatius	She plans amours from her tenderest years.	
Amoto quaeramus seria ludo.		horatius	Joking apart, let us give our attention to serious matters.	
Amphora coepit Institui: currente rota cur urceus exit?		horatius	A fine jar is intended to be made; why, when the wheel goes round, does it come out a humble pitcher?	A figure taken from the potter's wheel. It has the same application as the Fable of the Mountain in Labour.
Ampliat aetatis spatium sibi vir bonus; hoc est Vivere bis vita posse priore frui.		marcus valerius martialis	The good man extends the period of his life; it is to live twice, to enjoy with satisfaction the retrospect of our past life.	
Accipere quam facere praestat injuriam.		cicero	It is better to receive than to do an injury.	
Accipio revocamen.		ovidius	I accept the recall.	
Ab initio.			From the beginning	
Ab ovo usque ad mala.		horatius	From the egg to the apples (from beginning to end)	From the commencement to the end; eggs being the first, and apples the last, dish served at the Roman entertainments.
Ab Urbe condita.			From the building of the city	more usually denoted in the Latin writers by the initials A. U. C; Rome, B.C. 753.
Abeunt studia in mores.		ovidius	Pursuits become habits	Use is second nature.
Abi in pace.			Depart in peace	
Abiit nemine salutato.			He went away without bidding any one farewell	
Abite nummi, ego vos mergam, ne mergar a vobis.			Away with you, money, I will sink you, that I may not be sunk by you.	
Abiturus illuc quo priores abierunt, Quid mente caeca miserum torques Tibi dico, avare spiritum?		phaedrus	As you must go to that place to which others have gone before, why in the blindness of your mind do you torment your wretched existence? To you I address myself, miser	
Abnormis sapiens.		horatius	Wise without instruction	Naturally gifted with a sound understanding.
Abracadabra.				A cabalistic word, the name of a deity formerly worshipped by the Syrians. The letters of his name, written on paper, in the form of an inverted triangle, were recommended as an antidote against various diseases.
Age, libertate Decembri, Quando ita majores voluerunt, utere.		horatius	Come, since our forefathers would have it so, use the freedom of December.	Said in allusion to the Saturnalia, during which the slaves at Rome were allowed a greater latitude than usual.
Absens haeres non erit.	proverb		He who is at a distance will not be the heir	Out of sight out of mind
Absentem laedit cum ebrio qui litigat.		publilius syrus	He who disputes with a drunken man, offends one who is absent	The senses of a drunken man may be considered as absent.
Age quod agis.			Attend to what you are about.	"or, as the clock at the Inner Temple formerly had it, ""Begone about your business."""
Absentem qui rodit amicum, qui non defendit alio culpante; solutos qui captat risus hominum, famamque dicacis; Fingere qui non visa potest, commissa tacere qui nequit, hic niger est, hunc tu, Romane, caveto.		horatius	He who backbites an absent friend, who does not defend him when another censures him, who affects to raise loud laughs in company and the reputation of a funny fellow, who can feign things he never saw, who cannot keep secrets, he is a dangerous man; against him, Roman, be on your guard	
Agere considerate pluris est quam cogitare prudenter.		cicero	It is better to act considerately than to think wisely.	Very similar in meaning to the maxim, Paulum sepultae, &c, which see
Absque argento omnia vana.			Without money all is in vain.	
Agnosco veteris vestigia flammae.		virgilius	I recognise the remains of my former attachment.	"A somewhat similar expression to that of Gray, ""E'en in our ashes live their wonted fires."""
Absque hoc.	law term		Without this, ...	&c. The technical words of exception used in pleading a traverse.
Agnus Dei.			The Lamb of God.	A cake of wax stamped with the figure supporting the banner of the cross. It is supposed by the Romish Church to have miraculous powers for preserving the faithful. A part of the mass for the dead is also so called, from the circumstance of its beginning with these words.
Absque sudore et labore nullum opus perfectum est.			Without sweat and toil no work is made perfect.	Without exertion and diligence success is rarely attained.
Agricola incurvo terram dimorit aratro; Hinc anni labor; hinc patriam parvosque nepotes Sustinet: hinc armenta boum, meritosque juvencos.		virgilius	The husbandman cleaves the earth with his crooked plough: hence the labours of the year: hence he supports his country and his little offspring: hence his herds of kine and the steers which have earned his sustenance.	
Absque tali causa.	law term		Without such cause.	
Agri non omnes frugiferi sunt.		cicero	All fields are not fruitful.	So too all men are not equally susceptible of improvement.
Abstineto a fabis.			Abstain from beans.	The Athenians, at the election of their public magistrates, balloted with beans. It is also worthy of remark that the Pythagoreans had a superstitious belief that the souls of the dead were harboured in the centre of the bean.
Ah miser! Quanta laboras in Charybdi, Digne puer meliore flamma!		horatius	Into what an abyss hast thou fallen, unhappy youth! deserving of a more happy flame!	A parallel case to that of Samson and Delilah.
Absurdum est ut alios regat, qui seipsum regere nescit.	law maxim		It is absurd that he should govern others, who knows not how to govern himself.	Quoted by Kabelais, B. i. c. 52.
Ah! nimium faciles, qui tristia crimina caedis Fluminea tolli posse putetis aqua.		ovidius	Ah! too credulous mortals, who imagine that the guilt of bloodshed can be removed by the waters of the stream.	
Albae gallinae filius.	proverb		The son of a white hen.	Said of a person extremely fortunate. An eagle is said to have dropped a white hen, with a sprig of laurel, into the lap of Livia, the wife of the Emperor Augustus.
Album calculum addere.			To give a white stone.	In voting, among the ancients, approval was signified by putting into the urn a white stone; disapproval, or censure, by a black one.
Alea judiciorum.			Chance judiciary.	"The uncertainty of judgments;"" which too often, as it were, depend on the throw of a die. ""The glorious uncertainty of the law."""
Aleator, quanto in arte est melior, tanto est nequior.		publilius syrus	The gambler, the more skilful he is in his art, the more wicked is he.	
Abundans cautela non nocet.		edward coke	Excess of precaution can do no harm.	
Alexander victor tot regum atque populorum irae succubuit.		seneca	Alexander, the conqueror of so many kings and nations, was himself subdued by anger.	
Abundat dulcibus vitiis.		quintilianus	He abounds with alluring faults.	Said in allusion to an author the very faults of whose style are fascinating.
Aliam quercum excute.			Go, shake some other oak.	Said by a person who has already shown his liberality to an applicant.
Ac veluti magno in populo cum saepe coorta est Seditio; saevitque animis ignobile vulgus, Jamque faces et saxa volant, furor arma ministrat.		virgilius	And as when a sedition has arisen amongst a mighty multitude, as often happens, and the minds of the ignoble vulgar are excited; now stones, now firebrands fly; fury supplies arms.	
Alia res sceptrum, alia plectrum.			A sceptre is one thing, a fiddlestick another.	
Accedas ad curiam.	law maxim		You may come to the court.	A writ issued out of Chancery when a man had received false judgment in a hundred court or court baron, was so called.
Alias.			Otherwise.	Applied to persons who assume two or more names; as A, alias B. It also means a second writ, issued after a first writ has been issued to no purpose.
Accede ad ignem hunc, jam calesces plus satis.		terentius	Approach this fire, and you will soon be too warm.	Said in allusion to the seductive beauty of the courtesan Thais.
Accensa domo proximi, tua quoque periclitatur.	proverb		When the house of your neighbour is in flames, your own is in danger.	See Proximus ardet, etc.
Acceptissima semper Munera sunt, auctor quae pretiosa facit.		ovidius	Those gifts are always the most acceptable which our love for the donor makes precious	
Alibi.	law term		Elsewhere.	Law Term. When a person accused of an offence endeavours to prove that he was absent from the place at the time when the crime was committed, he is said to set up an alibi.
Acclinis falsis animus meliora recusat.		horatius	The mind intent upon false appearances refuses to admit better things.	
Aliena negotia centum Per caput, et circa saliunt latus.		horatius	A hundred affairs of other people come into my head, and beset me on every side.	
Aliena negotia curo, Excussus propriis.		horatius	I attend to the business of other men, regardless of my own.	This quotation - may be aptly applied to such busy-bodies as Aesop met, when carrying his lantern at mid-day. See Phaedrus, B. iii. F. 19.
An boni quid usquam est, quod quisquam uti possit Sine malo omni; aut, ne laborem capias, cum illo uti velles.		plautus	Is there any good whatever that we can enioy wholly without evil, or where you must not endure labour when you would enjoy it?	
Aliena nobis, nostra plus aliis placent.		publilius syrus	That which belongs to others pleases us most, while that which belongs to us is most valued by others.	"Few men are content with their station: so true it is that — ""Men would be angels, angels would be gods; Aspiring to be gods, if angels fell, Aspiring to be angels, men rebel."" Pope's Essay on Man."""
Aliena opprobria saepe Absterrent vitiis.		horatius	The disgrace of others often deters us from crime.	
Aliena optimum insania frui.			It is best to profit by the madness of others.	A proverb quoted by the Elder Pliny. See Optimum est aliena, &c.
Aliena vitia in oculis habemus - a tergo nostra sunt.		seneca	We have the vices of others always before our eyes — our own behind our backs.	See Ut nemo in sese, &c.
Aliena vivere quadra.		iunius iuvenalis	To eat off another man's trencher.	To live at another's expense.
An dives sit omnes quaerunt, nemo an bonus.			All inquire whether a man is rich, no one whether he is good.	A translation from Euripides.
An erit qui velle recuset Os populi meruisse, et cedro digna locutus Linquere?		persius	Will there be any one to disown a wish to deserve the people's praise, and to leave words worthy to be preserved in cedar?	Presses for books were made of cedar, and the paper was steeped in oil of cedar, that wood being esteemed for its antiseptic qualities.
An nescis longas regibus esse manus?		ovidius	Knowest thou not that kings have long arms?	that they can reach you at a distance even?
Alieni appetens, sui profusus.		sallustius	Covetous of another's, lavish of his own.	Catiline is here described by the historian.
An potest quidquam esse absurdius, quam quo minus viae restat, eo plus viatici quaerere?		cicero	Can there be anything more absurd, than to be making all the greater provision, in proportion as the less of your journey remains to be performed?	A reproof of covetousness in old age.
Alieni temporis flores.			Blossoms of a time gone by.	Flowers that bloomed in other days.
An quisquam est alius liber, nisi ducere vitam Cui licet, ut voluit?		persius	Is any man free, but he who is at liberty to spend his life in whatever manner he may please?	
Alieno in loco Haud stabile regnum est.		seneca	Over a distant realm sovereignty is insecure.	
Anceps remedium est melius quam nullum.			A doubtful remedy is better than none.	
Alienos agros irrigas tuis sitientibus.	proverb		You are watering your neighbours' fields, while your own are parched with drought.	Said to an interfering busy-body.
Anguillam cauda tenes.	proverb		You hold an eel by the tail.	You have got to deal with a slippery fellow, and if you do not hold him fast, he will slip through your fingers.
Arcana imperii.			The mysteries of governing.	State secrets.
Anima est amica amanti.		plautus	His mistress is the very life of a lover.	
Alii sementem faciunt, alii metent.	proverb		The one sows, the other will reap.	
Alio patriam quaerunt sub sole jacentem.		virgilius	They seek a country situate beneath another sun.	
Arcanum demens detegit ebrietas.			Frantic drunkenness reveals every secret.	
Aliorum medicus, ipse ulceribus scates.			The physician of others, you are full of ulcers yourself.	
Arcanum neque tu scrutaberis ullius unquam, Commissumque teges et vino tortus et ira.		horatius	Enquire not into the secrets of others, and conceal what is intrusted to you, even though racked by wine and anger.	
Aliquando gratius est quod facili quam quod plena manu datur.			Sometimes that is more acceptable which is given with a kindly, than that which is received from a full hand.	Presents are acceptable according to the spirit in which they are given.
Arctum annulum ne gestato.	proverb		Do not wear too tight a ring.	Do not by imprudence waste your property.
Anima magis est ubi amat quam ubi animat.		augustinus	The soul is more where it loves than where it lives.	
Aliquem fortunae filium reverentissime colere ac venerari.		augustinus	To treat with the greatest reverence and respect a man who is the darling of fortune.	"To ""follow that false plan, That money only makes the man."""
Arcum intensio frangit, animum remissio.		publilius syrus	Straining injures the bow, relaxation the mind.	"This maxim is in words not unlike that taught in the Fable of ""Aesop at Play,"" except that he warns us against giving, not too much, but too little, relaxation to the mind. See Phaedrus, B. iv. F. 14."
Animasque in vulnere ponunt.		virgilius	And they leave their lives in the wound.	
Animi cultus quasi quidam humanitatis cibus.		cicero	Cultivation is to the mind what food is to the body.	
Ardeat ipsa licet, tormentis gaudet amantis.		iunius iuvenalis	Although she herself may burn, she delights in the torments of her lover.	
Animo aegrotanti medicus est oratio.	proverb		Words are as a physician to an afflicted spirit.	See Sunt verba, &c.
Ardentia verba.			Words that glow.	Expressions full of warmth and ardour.
Aliquis non debet esse judex in propria causa.		edward coke	No man ought to be judge in his own cause.	
Animoque supersunt Jam prope post animam.		sidonius apollinaris	They display spirit even though they have all but breathed forth their spirit.	"There is a play upon the resemblance of the words animus, ""courage,"" and anima, ""soul."""
Accusare nemo se debet nisi coram Deo.	law maxim		No man is bound to accuse himself except before God.	It is a maxim of our law, that no man can be forced to become his own accuser.
Ardua cervix Argutumque caput, brevis aleus, obesaque terga, Luxuriatque toris animosum pectus.		virgilius	Lofty is his neck, and his head slender, his belly short, his back plump, while his proud chest swells luxuriant, with brawny muscles.	A fine description of what a horse should be.
Alis volat propriis.			He flies with his own wings.	He is able to take care of himself. Motto of the Earl of Thanet.
Animorum Impulsu, et coeca magnaque cupidine ducti.		iunius iuvenalis	Led on by the impulse of our minds, by blind and headstrong passions.	
Acer et vehemens bonus orator.		cicero	A good orator is pointed and forcible.	
Aliter catuli longe olent, aliter sues.		plautus	Puppies have one smell, pigs quite another.	All animals have an instinct by which they recognise their young.
Animula, vagula, blandula! Hospes, comesque corporis.			Dear, fluttering, fleeting soul of mine, thou guest and companion of the body.	"The beginning of the address of the emperor Adrian to his soul, composed in his last moments, and preserved by the historian Spartianus, as expressive of his uncertainty as to a future existence. The idea of Pope's ""Dying Christian's Address to his Soul,"" was suggested by these lines, which are replete with exquisite beauty."""
Acerrima proximorum odia.		tacitus	The hatred of those most nearly connected is the bitterest of all.	
Alitur vitium, vivitque tegendo.		virgilius	Vice is nourished and lives by concealment.	
Acerrimus ex omnibus nostris sensibus est sensus videndi.		cicero	The keenest of all our senses is the sense of sight.	
Animum nunc huc celerem, nunc dividit illuc.		virgilius	Now this way, now that, he turns his wavering mind.	
Animum pictura pascit inani.		virgilius	He feeds his mind with an empty picture.	He amuses himself with unsubstantial anticipations. Sea the stories of the Barmecide's Feast, and of Alnaschar and his brittle ware, in the Arabian Nights.
Acribus initiis, incurioso fine.		tacitus	Zealous at the commencement, careless towards the conclusion.	Said of those who commence an undertaking with more zeal than perseverance or discretion.
Alium silere quod valeas, primus sile.		seneca	That you may impose silence upon another, first be silent yourself.	
Acriora orexim excitant embammata.		columella	Savoury seasonings stimulate the appetite.	
Alma mater.			"A kind,"" or """"benign"""", mother."	A term originally used in reference to the earth, but employed by students to designate the university in which they were educated. It is said to have been first applied to Cambridge.
Acta exteriora indicant interiora secreta.		edward coke	The outward conduct indicates the secrets of the heart.	
Animum rege, qui nisi paret Imperat.		horatius	Control your temper, for if it does not obey you, it will govern you.	
Alta sedent civilis vulnera dextrae.		lucanus	The wounds inflicted by civil war are deeply seated.	
Actio personalis moritur cum persona.	law maxim		A personal action dies with the person.	
Altera manu fert lapidem, altera panem ostentat.		plautus	In one hand he carries a stone, while in the other he shows bread.	"So our proverb, ""He carries fire in one hand, and water in the other."""
Actum est de republica.			It is all over with the republic.	The constitution is overthrown.
Actum ne agas.		cicero	What has been done do not over again.	
Animus aequus optimum est aerumnae condimentum.		plautus	A patient mind is the best remedy for affliction.	
Ardua molimur; sed nulla nisi ardua virtus.		ovidius	I attempt an arduous task; but there is no merit but what is to be secured by arduous means.	
Animus est in patinis.		terentius	My thoughts are among the saucepans.	I am thinking of something to eat.
Arena sine calce.	proverb		Sand without lime.	If sand is used too plentifully, the mortar will not adhere. This saying was used by the emperor Caligula with reference to the desultory works of the philosopher Seneca.
Animus furandi.	law term		The intention of stealing.	It is the animus, and not the act, that constitutes an offence.
Animus homini, quicquid sibi imperat, obtinet.			Whatever it resolves on the human mind can effect.	
Arenae mandas semina.	proverb		You are sowing your grain in the sand.	You are labouring at an impossibility.
Animus hominis semper appetit agere aliquid.		cicero	The mind of man is always longing to do something.	
Arescit gramen veniente autumno.			The grass withers as autumn comes on.	Applicable to the sear and yellow leaf of old age.
Animus meminit praeteritorum, praesentia cernit, futura praevidet.		cicero	The mind remembers past events, scans the present, foresees the future.	
Altera manu scabunt, altera feriunt.	proverb		They scratch you with one hand, and strike you with the other.	Said of treacherous and deceitful persons.
Argentum accepi, dote imperium vendidi.		plautus	I received money with her, and for the dowry have sold my authority.	
Animus quod perdidit optat, Atque in praeterita se totus imagine versat.		petronius	The mind still longs for what it has lost, and is wholly intent upon the past.	The contemplation of lost opportunities has a kind of fascination, which at the same moment both invites and repels.
Alter idem.		cicero	Another self.	See Verus amicus.
Argilla quidvis imitaberis uda.		horatius	With moist clay you may imitate anything you please.	Early impressions are most indelibly fixed.
Animus si te non deficit aequus.		horatius	If your equanimity does not fail you.	
Argumentum ad hominem.			An argument direct to the man.	An argument which admits of a personal application.
Argumentum ad ignorantiam.			An argument to ignorance.	An argument founded on the ignorance of your adversary.
Alter ipse amicus.	proverb		A friend is a second self.	The thought occurs more than once in the works of Aristotle.
Argumentum ad judicium.			An argument by appeal to the judgment.	
Anno Domini.			In the year of our Lord;	for brevity, A. D.
Alterius non sit qui suus esse potest.			Let no man be the servant of another, who can be his own master.	
Argumentum ad verecundiam.			An argument to decency.	
Alterius sic Altera poscit opem, res et conjurat amice.		horatius	Thus does one thing require the co-operation of another, and they join in mutual aid.	
Argumentum baculinum.			The argument of the stick.	Club law.
Argutos inter strepit anser olores.		virgilius	He gabbles like a goose among the tuneful swans.	
Anno Mundi.			In the year of the world;	for brevity, A. M.
Alter remus aquas, alter mihi radat arenas.		propertius	Let one of my oars skim the water, the other touch the sands.	By acting thus, we shall not find ourselves out of our depth.
Arma cerealia.			The arms of Ceres.	Implements of husbandry, of which Ceres was the goddess.
Anno Urbis conditae.			In the year from the building of the city.	See Ab urbe, &c.
Alter rixatur de lana saepe caprina, Propugnat nugis armatus.		horatius	Another raises a dispute about a lock of goat's wool, and has recourse to arms for trifles.	"Potentates, as well as wolves, have often acted upon this principle, when they have deemed it to their interest to ""pick a quarrel""."
Arma tenenti Omnia dat, qui justa negat.		lucanus	He who refuses what is just, grants everything to his opponent when armed.	Consciousness of rectitude inspires us with that confidence which so greatly conduces to success.
Annosam arborem transplantare.			To transplant an aged tree.	Said of a person late in life quitting an employment in which he has been long engaged, for a new one.
Altissima quaeque flumina minimo sono labuntur.		curtius	The deepest rivers flow with the least noise.	"Of similar application to our proverb, ""Empty vessels make the greatest sound."""
Annosa vulpes haud capitur laqueo.	proverb		An old fox is not to be caught with a springe.	Old birds are not to be caught with chaff.
A. M. for Artium Magister.			Master of Arts.	The highest University degree in Arts. See also Anno Mundi, Ante meridiem.
Annus mirabilis.			The year of wonders.	
Ama tanquam osurus. Oderis tanquam amaturus.	proverb		Love as though you might hate. Hate as though you might love.	Be prepared in either case for a change of circumstances; and neither make your friend acquainted with your failings and weak points, nor make it impossible that your enemy can ever become reconciled to you. Cicero, with considerable reason, dissents from the first part of this adage. See Amicum ita, &c.
Ante barbam doces senes.	proverb		Before you have got a beard you are for teaching the aged.	
Ante diem clauso componet Vesper Olympo.		virgilius	The evening star will first shut the gates of heaven upon the day.	
Ante mare, et tellus, et quod tegit omnia coelum, Unus erat toto naturae vultus in orbe, Quem dixere Chaos; rudis indigestaque moles.		ovidius	At first the sea, the earth, and the heaven which covers all things, were the only face of nature through the whole universe, which men have named Chaos; a rude and undigested mass.	
Ante meridiem.			"""Before noon,"" or ""mid-day,"""	generally denoted by the initials A. M.
Amantium irae amoris integratio est.		terentius	The quarrels of lovers are the renewal of love.	"So our old proverb, ""Old pottage is sooner heated than new made."""
Amare et sapere vix deo conceditur.		laber(?)	It is hardly granted to a god to be in love and to act wisely.	
Amare juveni fructus est, crimen seni.		publilius syrus	It is proper for a young man to be in love, a crime for an old one.	
Actus Dei nemini facit injuriam.	law maxim		The act of God does wrong to no man.	The word injury is here used in its primary sense. God, who is the author of justice, cannot do that which is unjust.
Ambiguas in vulgum spargere voces.		virgilius (adapted from)	To spread ambiguous reports among the populace.	
Ambiguum pactum contra venditorem interpretandum est.	law maxim		A doubtful agreement is to be interpreted against the vendor.	
Ars est celare artem.			The great object of art is to conceal art.	The perfection of art is attained when no traces of the artist are to be seen.
Ars est sine arte, cujus principium est mentiri, medium laborare, et finis mendicare.			The art is devoid of art, whose beginning is falsehood, its middle labour, and its end beggary.	The character of the delusive science of alchemy.
Ars longa, vita brevis.			Art is long, life is short.	A translation of the first of Hippocrates' Aphorisms.
Actus legis nulli facit injuriam.	law maxim		The act of the law does wrong to no man.	
Ante oculos errant domus, urbs, et forma locorum; Succeduntque suis singula facta locis.		ovidius	Before my eyes flit my home, the city, and each well-known spot: and then follows, in order, each thing, as it happens, in its appropriate place.	
Actus me invito factus, non est meus actus.	law maxim		An act done by me against my will, is not my act.	According to the principles of law, acts done under duress are void.
Ars mihi non tanti est.		ovidius	The art is not worth so great a penalty to me.	
Ante senectutem curavi, ut bene viverem; in senectute, ut bene moriar.		seneca	Before old age, I made it my care to live well; in old age, to die well.	St. Jerome ranked Seneca among the writers of Christianity.
Actus non facit reum, nisi mens sit rea.	law maxim		The act does not make the crime, unless the intention is criminal.	The law requires that evil intention, or malice prepense, should be reasonably proved against the person accused, before he can be pronounced guilty.
Amici probantur rebus adversis.		cicero	Friends are proved by adversity.	
Ante tubam trepidat.			He trembles before the trumpet sounds.	
Acum in meta foeni quaerere.	medieval saying		To seek a needle in a bundle of hay.	
Ars varia vulpis, ast una echino maxima.	proverb		The fox has many tricks; the hedgehog only one, and that greater than all.	The hedgehog effectually defends himself by rolling himself up in a ball. See Multa novit, &c.
Ante victoriam canere triumphum.			To celebrate the triumph before victory.	"Similar in meaning to our expression, ""To count our chickens before they are hatched."""
Ad calamitatem quilibet rumor valet.		publilius syrus	Every rumour is believed when directed against the unfortunate.	"To the same purpose as the English proverb, ""Give a dog a bad name and hang him."""
Ante victoriam ne canas triumphum.			Don't sing your triumph before you have conquered.	"So we say, ""Don't halloo before you are out of the wood."""
Ad Calendas Graecas.			At the Greek Calends.	"As the Greeks, in their division of the months, had no calends, (which were used by the Romans only,) this phrase was used in reference to a thing that could never take place. ""To-morrow come never,"" as we say."""
Artem quaevis alit terra.			Every country nurtures some art.	
Ante videmus fulgurationem quam sonum audiamus.		seneca	We see the lightning before we hear the thunder.	
Ad captandum vulgus.			To catch the mob.	"Said of a specious argument ""for the nonce."""
Artis magistra necessitas.		gaius plinius caecilius secundus	Necessity is the mistress of the arts.	
Antehac putabam te habere cornua.	proverb		Till now I thought you had horns.	Said to a blusterer, who, at the last moment, is found defective in courage.
Ad connectendas amicitias, tenacissimum vinculum est morum similitudo.		gaius plinius caecilius secundus	For cementing friendship, resemblance of manners is the strongest tie.	
